ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,Price_Model1,DemandScore,Price_Model2,Price_Model3
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,2.0,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,10.528596187175044,0.45285961871750435,11.131915221334797,12.44
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,2.0,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,10.554592720970538,0.4554592720970537,11.140014214046122,12.38
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,2.0,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,10.693240901213171,0.6693240901213171,11.806291347764468,13.49
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,2.0,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,10.927209705372617,0.6927209705372617,11.879182282166395,13.67
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,2.0,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,11.299826689774697,0.6099826689774697,11.621418340807288,13.23
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,2.0,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,11.533795493934143,0.9533795493934144,12.691241284688592,14.92
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,2.0,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,11.897746967071058,1.709774696707106,15.047724203975747,18.51
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,2.0,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,12.140381282495667,1.4140381282495667,14.126382793135402,17.18
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,2.0,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,12.244367417677644,1.4244367417677646,14.158778763980704,17.23
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,2.0,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,12.305025996533796,1.9105025996533798,15.673074427859532,19.77
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,2.0,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,12.331022530329289,1.833102253032929,15.43194041820101,19.37
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,2.0,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,12.2790294627383,1.8279029462738303,15.41574243277836,19.34
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,2.0,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,12.062391681109185,1.4062391681109188,14.102085815001427,17.06
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,2.0,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,11.8630849220104,1.10630849220104,13.167678029253478,15.64
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,2.0,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,11.663778162911612,0.8463778162911613,12.35788674469045,14.63
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,2.0,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,11.429809358752166,0.7429809358752166,12.03576280791868,13.94
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,2.0,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00,11.403812824956672,0.4203812824956672,11.030731805727976,12.41
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,2.0,2,0,04-10-2016,16:31:00,2016-10-04 16:31:00,11.239168110918545,0.7239168110918544,11.976370194702296,13.75
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,2.0,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00,10.467937608318891,0.4467937608318891,11.113017571675039,12.37
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,2.0,1,0,05-10-2016,08:30:00,2016-10-05 08:30:00,10.511265164644714,0.45112651646447144,11.126515892860581,12.52
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,2.0,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00,10.61525129982669,0.661525129982669,11.781994369630493,13.41
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,2.0,2,0,05-10-2016,09:30:00,2016-10-05 09:30:00,10.719237435008665,0.6719237435008666,11.814390340475793,13.56
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,2.0,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00,10.98786828422877,0.898786828422877,12.521162437750766,14.65
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,2.0,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00,11.109185441941074,1.2309185441941075,13.555889746549662,16.27
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,2.0,4,0,05-10-2016,11:04:00,2016-10-05 11:04:00,11.282495667244367,1.0082495667244369,12.862184024182294,15.44
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,2.0,4,0,05-10-2016,11:30:00,2016-10-05 11:30:00,11.403812824956672,1.1403812824956674,13.27382882705658,16.24
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,2.0,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00,11.542461005199307,1.554246100519931,14.563188466699538,18.21
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,2.0,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00,11.58578856152513,1.7585788561525133,15.199769293809691,19.13
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,2.0,7,0,05-10-2016,12:57:00,2016-10-05 12:57:00,11.516464471403813,1.7516464471403816,15.178171979912825,19.04
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,2.0,6,0,05-10-2016,13:30:00,2016-10-05 13:30:00,11.551126516464471,1.6751126516464474,14.939737634491413,18.68
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,2.0,4,0,05-10-2016,13:57:00,2016-10-05 13:57:00,11.507798960138649,1.1507798960138649,13.30622479790188,16.07
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,2.0,5,0,05-10-2016,14:30:00,2016-10-05 14:30:00,11.369150779896014,1.3369150779896013,13.886112676032758,16.76
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,2.0,3,0,05-10-2016,14:57:00,2016-10-05 14:57:00,11.256499133448873,0.9256499133448876,12.604852029101126,15.0
